dataset,method,n,ridge_alpha,graph_min_weight,graph_weight_power,graph_self_weight,mae_mean,mae_std,rmse_mean,rmse_std,node_rmse_mean_mean,node_rmse_mean_std,node_rmse_max_mean,node_rmse_max_std,delta_vs_same_alpha_dense_rmse,delta_vs_best_dense_rmse,delta_vs_persistence_rmse,beats_same_alpha_dense,beats_best_dense,beats_persistence,meaningfully_beats_same_alpha_dense,meaningfully_beats_best_dense,meaningfully_beats_persistence
AReMActivities,DynVAR-Lasso Weighted Ridge,5,3.0,0.01,4.0,1.0,0.5738488473198938,0.0,0.91154599808664,1.2412670766236366e-16,0.8419592458840451,0.0,1.4553857451035352,0.0,-0.0001680309078859743,0.0024304756160784535,-0.2164588174460229,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,3.0,0.03,0.5,1.0,0.5739928120966892,0.0,0.9117083227083432,0.0,0.8421404088652891,1.2412670766236366e-16,1.4554607599618874,0.0,-5.706286182793896e-06,0.002592800237781634,-0.21629649282431973,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,3.0,0.03,1.0,1.0,0.573986359195364,0.0,0.9117007412878639,1.2412670766236366e-16,0.8421318378561793,0.0,1.4554557205795742,0.0,-1.328770666209067e-05,0.002585218817302337,-0.21630407424479903,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,3.0,0.03,2.0,1.0,0.5739661344524211,0.0,0.9116773644835995,0.0,0.842105526367526,1.2412670766236366e-16,1.4554422399196691,0.0,-3.666451092654288e-05,0.002561842013037885,-0.21632745104906348,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,3.0,0.03,4.0,1.0,0.5738982606439716,0.0,0.9115999362955993,0.0,0.8420170397104826,1.2412670766236366e-16,1.455399195944841,0.0,-0.00011409269892670437,0.0024844138250377235,-0.21640487923706364,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,3.0,0.1,0.5,1.0,0.5739932739589396,0.0,0.9117088656066482,0.0,0.8421410224690566,0.0,1.4554611219361469,0.0,-5.163387877815673e-06,0.002593343136086612,-0.21629594992601475,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,3.0,0.1,1.0,1.0,0.5739878550020157,0.0,0.9117024714934739,1.2412670766236366e-16,0.8421337768858536,0.0,1.455456718507763,0.0,-1.1557501052084085e-05,0.0025869490229123437,-0.21630234403918902,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,3.0,0.1,2.0,1.0,0.5739739366691241,0.0,0.9116861933357573,0.0,0.8421152428350757,0.0,1.4554462489337745,0.0,-2.7835658768737837e-05,0.00257067086519569,-0.21631862219690567,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,3.0,0.1,4.0,1.0,0.5739415889609251,0.0,0.9116480241341582,0.0,0.8420706952736621,1.2412670766236366e-16,1.4554210335996887,0.0,-6.600486036778541e-05,0.0025325016635966424,-0.21635679139850472,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,3.0,0.3,0.5,1.0,0.57399446129049,0.0,0.9117102674276456,0.0,0.8421426095487945,0.0,1.4554620912639875,0.0,-3.7615668804225066e-06,0.0025947449570840053,-0.21629454810501736,True,False,True,False,False,True
