dataset,seed,method,graph_fraction,lasso_alpha,window_size,window_stride,feature_budget_per_target,mae,rmse,node_rmse_mean,node_rmse_max
ETTh1,0,Dense Ridge,0.75,0.005,300,150,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
ETTh1,0,Nonself Dense Ridge,0.75,0.005,300,150,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,DynVAR-Lasso Graph Ridge,0.75,0.005,300,150,14,0.5209079886674504,0.777972824137424,0.6529430984798628,1.6618399963415633
ETTh1,0,STCG-v1 Graph Ridge,0.75,0.005,300,150,14,0.5209079886674504,0.777972824137424,0.6529430984798628,1.6618399963415633
ETTh1,0,Persistence,1.0,0.005,300,150,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
ETTh1,0,Dense Ridge,1.0,0.005,300,150,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
ETTh1,0,Nonself Dense Ridge,1.0,0.005,300,150,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,DynVAR-Lasso Graph Ridge,1.0,0.005,300,150,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,STCG-v1 Graph Ridge,1.0,0.005,300,150,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,Persistence,0.25,0.005,600,300,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
ETTh1,0,Dense Ridge,0.25,0.005,600,300,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
ETTh1,0,Nonself Dense Ridge,0.25,0.005,600,300,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,DynVAR-Lasso Graph Ridge,0.25,0.005,600,300,5,0.5190186242835916,0.7479240555829006,0.6489528658055699,1.4975984906805628
ETTh1,0,STCG-v1 Graph Ridge,0.25,0.005,600,300,5,0.5190186242835916,0.7479240555829006,0.6489528658055699,1.4975984906805628
ETTh1,0,Persistence,0.5,0.005,600,300,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
ETTh1,0,Dense Ridge,0.5,0.005,600,300,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
ETTh1,0,Nonself Dense Ridge,0.5,0.005,600,300,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,DynVAR-Lasso Graph Ridge,0.5,0.005,600,300,9,0.5574868439264503,0.8220727514465475,0.6960659006459444,1.6553767208988481
ETTh1,0,STCG-v1 Graph Ridge,0.5,0.005,600,300,9,0.5574868439264503,0.8220727514465475,0.6960659006459444,1.6553767208988481
ETTh1,0,Persistence,0.75,0.005,600,300,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
ETTh1,0,Dense Ridge,0.75,0.005,600,300,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
ETTh1,0,Nonself Dense Ridge,0.75,0.005,600,300,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,DynVAR-Lasso Graph Ridge,0.75,0.005,600,300,14,0.5313635235131021,0.7885587165786996,0.6640720379099203,1.6609376512670921
ETTh1,0,STCG-v1 Graph Ridge,0.75,0.005,600,300,14,0.5313635235131021,0.7885587165786996,0.6640720379099203,1.6609376512670921
ETTh1,0,Persistence,1.0,0.005,600,300,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
ETTh1,0,Dense Ridge,1.0,0.005,600,300,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
ETTh1,0,Nonself Dense Ridge,1.0,0.005,600,300,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
