dataset,method,n,graph_fraction,lasso_alpha,window_size,window_stride,feature_budget_per_target,mae_mean,mae_std,rmse_mean,rmse_std,node_rmse_mean_mean,node_rmse_mean_std,node_rmse_max_mean,node_rmse_max_std,delta_vs_dense_rmse,delta_vs_persistence_rmse,beats_dense,beats_persistence
ETTh2,DynVAR-Lasso Graph Ridge,1,0.25,0.01,300,150,5,0.6186882409667805,0.0,0.7848096933749938,0.0,0.743372912488396,0.0,1.1146406070286357,0.0,0.5576726020856636,0.5392191387933623,False,False
ETTh2,DynVAR-Lasso Graph Ridge,1,0.25,0.01,600,300,5,0.6874837842491945,0.0,0.8946875702608257,0.0,0.8086284010531182,0.0,1.4548959275347604,0.0,0.6675504789714954,0.6490970156791941,False,False
ETTh2,DynVAR-Lasso Graph Ridge,1,0.25,0.01,1200,600,5,0.6524821049063987,0.0,0.8364420708433137,0.0,0.768394606333656,0.0,1.1911193527875432,0.0,0.6093049795539834,0.5908515162616821,False,False
ETTh2,DynVAR-Lasso Graph Ridge,1,0.5,0.001,300,150,9,0.6839951655971315,0.0,0.8553530945718573,0.0,0.8176088614648408,0.0,1.1131374455183292,0.0,0.628216003282527,0.6097625399902257,False,False
ETTh2,DynVAR-Lasso Graph Ridge,1,0.5,0.001,600,300,9,0.6821816081048037,0.0,0.8509284744846075,0.0,0.8159014167240624,0.0,1.1180377911735566,0.0,0.6237913831952773,0.6053379199029759,False,False
ETTh2,DynVAR-Lasso Graph Ridge,1,0.5,0.001,1200,600,9,0.6448242247054784,0.0,0.792082951835796,0.0,0.7628538001664861,0.0,1.058235572768558,0.0,0.5649458605464658,0.5464923972541644,False,False
ETTh2,DynVAR-Lasso Graph Ridge,1,0.5,0.003,300,150,9,0.6220845827828014,0.0,0.7840919453216795,0.0,0.7396134494969336,0.0,1.1216642033669297,0.0,0.5569548540323492,0.5385013907400479,False,False
ETTh2,DynVAR-Lasso Graph Ridge,1,0.5,0.003,600,300,9,0.6405673879200323,0.0,0.801576195687789,0.0,0.7595866155909492,0.0,1.1142582992285945,0.0,0.5744391043984588,0.5559856411061574,False,False
ETTh2,DynVAR-Lasso Graph Ridge,1,0.5,0.003,1200,600,9,0.6465818551955264,0.0,0.8072804645702637,0.0,0.768782171698919,0.0,1.1114274801769146,0.0,0.5801433732809335,0.5616899099886321,False,False
ETTh2,DynVAR-Lasso Graph Ridge,1,0.5,0.005,300,150,9,0.6205556382300912,0.0,0.788849586687418,0.0,0.7455982413866186,0.0,1.1216642033669297,0.0,0.5617124953980878,0.5432590321057864,False,False
ETTh2,DynVAR-Lasso Graph Ridge,1,0.5,0.005,600,300,9,0.6115191652059045,0.0,0.7843110448859414,0.0,0.738721608284015,0.0,1.1129222579976652,0.0,0.5571739535966111,0.5387204903043098,False,False
ETTh2,DynVAR-Lasso Graph Ridge,1,0.5,0.005,1200,600,9,0.6134660593067888,0.0,0.7818494092009565,0.0,0.7397767759119657,0.0,1.135084501369773,0.0,0.5547123179116262,0.5362588546193249,False,False
